639-2,639-3,639-5,639-1,Language name(s),Scope,Type,Native name(s),Other name(s)
aar,aar,,aa,Afar,Individual,Living,Qafaraf; ’Afar Af; Afaraf; Qafar af,
abk,abk,,ab,Abkhazian,Individual,Living,Аҧсуа бызшәа Aƥsua bızšwa; Аҧсшәа Aƥsua,Abkhaz
ace,ace,,,Achinese,Individual,Living,بهسا اچيه,Acehnese
ach,ach,,,Acoli,Individual,Living,Lwo,Acholi
ada,ada,,,Adangme,Individual,Living,Dangme,Dangme
ady,ady,,,Adyghe; Adygei,Individual,Living,Адыгабзэ; Кӏахыбзэ,West Circassian
afa,,afa,,Afro-Asiatic languages,Collective,,,
afh,afh,,,Afrihili,Individual,Constructed,El-Afrihili,
afr,afr,,af,Afrikaans,Individual,Living,Afrikaans,
ain,ain,,,Ainu,Individual,Living,アイヌ・イタㇰ Ainu-itak,
aka,aka,,ak,Akan,Macrolanguage,Living,Akan,
akk,akk,,,Akkadian,Individual,Ancient,𒀝𒅗𒁺𒌑,
ale,ale,,,Aleut,Individual,Living,Уна́ӈам тунуу́; Унаӈан умсуу,
alg,,alg,,Algonquian languages,Collective,,,
alt,alt,,,Southern Altai,Individual,Living,Алтай тили,
amh,amh,,am,Amharic,Individual,Living,አማርኛ Amârıñâ,
ang,ang,,,"English, Old (ca.450–1100)",Individual,Historical,Ænglisc; Anglisc; Englisc,
anp,anp,,,Angika,Individual,Living,,
apa,,apa,,Apache languages,Collective,,,Southern Athabaskan languages
ara,ara,,ar,Arabic,Macrolanguage,Living,العَرَبِيَّة al'Arabiyyeẗ,
arc,arc,,,Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE),Individual,Ancient,,
arg,arg,,an,Aragonese,Individual,Living,aragonés,
arn,arn,,,Mapudungun; Mapuche,Individual,Living,,
arp,arp,,,Arapaho,Individual,Living,Hinónoʼeitíít,
art,,art,,Artificial languages,Collective,,,
arw,arw,,,Arawak,Individual,Living,Lokono,Lokono
asm,asm,,as,Assamese,Individual,Living,অসমীয়া,
ast,ast,,,Asturian; Bable; Leonese; Asturleonese,Individual,Living,Asturianu,
ath,,ath,,Athapascan languages,Collective,,,Athabaskan languages
aus,,aus,,Australian languages,Collective,,,
ava,ava,,av,Avaric,Individual,Living,Магӏарул мацӏ; Авар мацӏ,Avar
ave,ave,,ae,Avestan,Individual,Ancient,,
awa,awa,,,Awadhi,Individual,Living,अवधी,
aym,aym,,ay,Aymara,Macrolanguage,Living,Aymar aru,
aze,aze,,az,Azerbaijani,Macrolanguage,Living,Azərbaycan dili; آذربایجان دیلی; Азәрбајҹан дили,
bad,,bad,,Banda languages,Collective,,,
bai,,bai,,Bamileke languages,Collective,,Bamiléké,
bak,bak,,ba,Bashkir,Individual,Living,Башҡорт теле; Başqort tele,
